url_length,num_dots,num_hyphens,num_digits,num_special_chars,has_https,has_ip,brand_similarity,NoOfExternalRef,LineOfCode,HasSocialNet,IsResponsive,NoOfiFrame,label
18,1,0,0,0,1,0,1.0,0,156,0,0,0,1
22,1,0,0,0,1,0,0.4444444444444444,2,944,1,1,0,1
20,1,0,0,0,1,0,1.0,0,139,1,1,0,1
21,1,0,0,0,1,0,1.0,9,14167,1,1,0,1
19,1,0,0,0,1,0,0.4,1,23,0,1,1,1
17,1,0,0,0,1,0,1.0,1,1856,1,1,0,1
21,1,0,0,0,1,0,1.0,0,118,1,1,0,1
15,1,0,0,0,1,0,0.4444444444444444,0,17,0,1,0,1
19,1,0,0,0,1,0,0.35294117647058826,17,79,0,1,0,1
20,1,0,0,0,1,0,1.0,0,32,1,1,0,1
18,1,0,0,0,1,0,0.46153846153846156,203,3933,1,1,0,1
17,1,0,0,0,1,0,0.4,264,506,1,1,0,1
16,1,0,0,0,1,0,0.5454545454545454,2,73,0,1,0,1
18,1,0,0,0,1,0,0.2857142857142857,13,561,1,1,0,1
21,1,0,0,0,1,0,0.5882352941176471,7,969,0,1,0,1
20,1,0,0,0,1,0,0.46153846153846156,122,34,1,1,0,1
23,1,0,0,0,1,0,0.35294117647058826,32,2099,1,1,1,1
19,1,0,0,0,1,0,1.0,3,30654,0,1,0,1
17,1,0,0,0,1,0,0.46153846153846156,9,174,1,1,0,1
22,1,0,0,0,1,0,0.4,158,310,1,1,0,1
16,1,0,0,0,1,0,0.2857142857142857,9,23,0,1,1,1
21,1,0,0,0,1,0,0.2857142857142857,18,944,1,1,1,1
17,1,0,0,0,1,0,0.4,9,1677,0,1,0,1
23,1,0,0,0,1,0,0.3076923076923077,180,3933,1,1,0,1
25,1,0,0,0,1,0,0.631578947368421,6,102,0,1,0,1
13,1,0,0,0,1,0,0.25,2,79,0,1,0,1
18,1,0,0,0,1,0,0.3076923076923077,0,21,0,1,0,1
21,1,0,0,0,1,0,0.4444444444444444,1,1964,1,1,0,1
20,1,0,0,0,1,0,0.46153846153846156,26,34,1,1,0,1
18,1,0,0,0,1,0,0.4,0,603,1,1,0,1
17,1,0,0,0,1,0,0.46153846153846156,16,72,1,1,0,1
22,1,0,0,0,1,0,0.4444444444444444,42,1224,1,1,2,1
29,1,0,0,0,1,0,0.5217391304347826,4,156,0,0,0,1
15,1,0,0,0,1,0,0.4444444444444444,0,91,0,1,0,1
15,1,0,0,0,1,0,0.4,8,194,1,1,0,1
17,1,0,0,0,1,0,0.4,0,1508,1,1,0,1
19,1,0,0,0,1,0,0.42857142857142855,0,135,0,1,0,1
13,1,0,0,0,1,0,0.4444444444444444,59,33,1,1,0,1
17,1,0,0,0,1,0,0.5,13,84,0,1,0,1
15,1,0,0,0,1,0,0.4,272,2881,1,1,1,1
17,1,0,0,0,1,0,0.36363636363636365,4,48,1,1,2,1
18,1,0,0,0,1,0,0.46153846153846156,8,7,0,1,0,1
19,1,0,0,0,1,0,0.4,137,269,0,1,0,1
19,1,0,0,0,1,0,0.3076923076923077,26,920,1,1,0,1
14,1,0,0,0,1,0,0.0,24,222,0,1,3,1
17,1,0,0,0,1,0,0.4444444444444444,10,3005,1,1,1,1
19,1,0,0,0,1,0,0.46153846153846156,7,7404,1,1,0,1
20,1,0,0,0,1,0,0.47058823529411764,0,938,0,1,0,1
19,1,0,0,0,1,0,0.4,9,939,1,1,0,1
17,1,0,0,0,1,0,0.5,226,60,1,1,0,1
21,1,0,0,0,1,0,0.2857142857142857,17,3713,1,1,0,1
21,1,0,0,0,1,0,0.42857142857142855,10,2396,1,1,1,1
14,1,0,0,0,1,0,0.4,0,50,0,0,0,1
17,1,0,0,0,1,0,0.4,32,2302,1,1,0,1
18,1,0,0,0,1,0,0.42857142857142855,0,93,0,1,0,1
14,1,0,0,0,1,0,0.2222222222222222,5,2095,1,1,0,1
12,1,0,0,0,1,0,0.25,2,284,0,1,0,1
17,1,1,0,0,1,0,0.4444444444444444,33,654,1,1,0,1
14,1,0,0,0,1,0,0.4,198,2203,1,1,0,1
17,1,0,0,0,1,0,0.4,0,196,0,1,0,1
28,1,1,0,0,1,0,0.5454545454545454,31,1820,1,1,1,1
29,1,1,0,0,1,0,0.38461538461538464,1,43,0,1,0,1
14,1,0,0,0,1,0,0.3333333333333333,0,257,0,1,0,1
20,1,0,0,0,1,0,0.3333333333333333,3,107,1,1,0,1
17,1,0,0,0,1,0,0.2857142857142857,28,316,0,0,0,1
18,1,0,0,0,1,0,0.42857142857142855,13,3441,1,1,1,1
14,1,0,1,0,1,0,0.2222222222222222,8,60,1,1,0,1
18,1,0,0,0,1,0,0.5454545454545454,10,830,1,1,0,1
20,1,0,0,0,1,0,0.46153846153846156,23,145,0,1,0,1
18,1,0,0,0,1,0,0.375,68,1357,1,1,0,1
19,1,0,1,0,1,0,0.2857142857142857,34,8,1,1,0,1
15,1,0,0,0,1,0,0.4,10,1555,1,1,1,1
19,1,0,0,0,1,0,0.375,11,343,1,1,0,1
21,1,0,0,0,1,0,0.42857142857142855,64,119,1,1,1,1
18,1,0,0,0,1,0,0.42857142857142855,16,604,1,1,0,1
19,1,0,0,0,1,0,1.0,16,30654,0,1,0,1
19,1,0,0,0,1,0,0.5,0,32,0,1,0,1
14,1,0,0,0,1,0,0.3076923076923077,0,50,0,0,0,1
19,1,0,0,0,1,0,0.36363636363636365,1,56,0,0,0,1
20,1,0,0,0,1,0,0.4,10,900,1,1,0,1
19,1,0,0,0,1,0,0.42857142857142855,2,846,1,1,1,1
18,1,0,0,0,1,0,0.3076923076923077,4,611,0,1,0,1
15,1,0,0,0,1,0,0.5454545454545454,10,139,0,1,0,1
18,1,0,0,0,1,0,1.0,8,214,0,1,1,1
19,1,0,0,0,1,0,0.375,12,1357,1,1,0,1
20,1,0,0,0,1,0,0.6153846153846154,16,264,1,1,0,1
31,1,0,0,0,1,0,0.34782608695652173,11,528,1,1,1,1
22,1,0,0,0,1,0,0.25,5,220,0,1,0,1
